origional tweet,user
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",stalker
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Wladimir
RT @rima_allaham123: It's one of the most awful stories in #Syria. Her father was killed by #Assad. She doesn't know. She was only six mont…,Blake
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",ChilliTheGerman
RT @ejmalrai: I have learned that #Iran is expected to return the hit on the #Iraq-#Syria borders very soon.,Barry
"RT @VanessaBeeley: So MI6 #AlQaeda-linked #WhiteHelmets ""condemn"" alleged PKK bombing in #İstanbul but complete silence over #Israel attack…",Andy Mack
"#American #Occupation Intensifies #Oil #Looting Operations In #Hasakah Countryside , Northeastern #Syria ⁨ Details..⤵⤵⤵ https://t.co/qFPh1PKT3j",Syria 360 🇸🇾
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,Shirley Widlacki
The #HTS-linked Salvation Government decided to stop all procedures related to the certificates of the graduates of the regime universities (equivalency of certificates &amp; professional licenses to practice)  #Syria #SSG #Idlib #سوريا #ادلب #حكومة_الإنقاذ #تحرير_الشام https://t.co/cifQiYp7gG,Idlib Calling
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,Marcella D'Angelo
"RT @fgeerdink: ask yourself: who profits from this #bombing in #istanbul? it's fully against the interest of the #kurds in #syria, they wil…",Garden princess
"RT @fgeerdink: and ypg and ypj in #syria? that's, if possible, even bigger nonsense. they defend the autonomously administered regions in #…",за єNota
RT @YPJ_Info: 🪧Today tens of thousands held a demonstration in #Qamishlo  ➡️ The people of NE-#Syria are condemning #Turkey's usage of chem…,John Maenpaa
"RT @lineva_veman: 62 years ago, 300 Kurdish children were burned alive by the Syrian occupation regime while they watched a movie in a cine…",Behram
RT @5thSu: #European strategy of Wars !!! #Ukraine️ #Syria ...... https://t.co/A3DZxcNbho,mosi
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Barry
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Baran
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,SlemaniKurd
"https://t.co/2aFR7isqhs ""Police said it had detained 46 people in relation to an attack at the heart of the city, including Syrian woman."" #Syria #PrayforIstanbul #PrayersForTurkey #istanbul #terrorist #terrorism #Terrorismo #terroriste #Turkey #crime #IstanbulExplosion",Public News
"RT @fgeerdink: ask yourself: who profits from this #bombing in #istanbul? it's fully against the interest of the #kurds in #syria, they wil…",Georg von Karajan
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Dilek Celebi
"RT @VanessaBeeley: So MI6 #AlQaeda-linked #WhiteHelmets ""condemn"" alleged PKK bombing in #İstanbul but complete silence over #Israel attack…",Tom 🇭🇹🌸 #ApartheidIsrael
Evening Summary &gt; Will Ukraine Be A Long War &gt; US Troops In Syria &gt; Get Organised Change Lives Read All About It https://t.co/wjYpit6U1J All Free All The Time #HackneyBooks #Ukraine #Syria #GetOrganised https://t.co/UG7wKI7vQ8,HackneyBooks
"The @SyrianACD interviewed Rudaina Alkhazam, Program Director, to talk about why SACD has focused all its efforts on the paper, Roadmap to a Safe Environment in #Syria over the past three years. 1/ #SafeEnvironmentBeforeReturn https://t.co/6gAiHRYGu9",Syrian Association for Citizens' Dignity
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Yena
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Ali
@MattWallace888 What the fuck were they eating while the rest of the world is starving?!  They dare speak of world hunger. The audacity!  #RussianUkrainianWar #Syria #iraq #taxes,Пр. Мн. Вћ.
RT @fgeerdink: 1200 turkish flags planted on #istiklal street. it's a #scenario put into practice. i'm scared for what's coming. #turkey #s…,Laura
"RT @SyriaCivilDef: “On #WorldDiabetesDay, we stand committed as caregivers to diabetes patients who suffer in light of the poor health sect…",firejelly40
RT @dersi4m: Turkey says that they don’t accept condolences from the U.S. regarding the attack in Istanbul. This is an attempt to blackmail…,Median
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Mustafa Gurbuz
"RT @Levant_24_: #Syria  #Daraa   According to reports, ISIS detonated a VBIED in the al-Sad neighborhood of Daraa al-Balad as clashes betwe…",Todd Wagner
RT @Shafaqnews: #Exclusive: #Iraq's National #Security Advisor has stepped back from its role in the case of the #Iraqi families in #Syria'…,semprecontro
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,'CarelOBlacke
Libya Council In Showdown With Dbeibah's Government  #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants  #Elections https://t.co/nO6CmX4Hlw,PhatzNewsRoom
"RT @lineva_veman: 62 years ago, 300 Kurdish children were burned alive by the Syrian occupation regime while they watched a movie in a cine…",MRÖ
"RT @rima_allaham123: #Assad of #Syria killed 2 millions of his own people and is still killing. for 11 years,the world has been watching #S…",ريمة اللحام
RT @rima_allaham123: It's one of the most awful stories in #Syria. Her father was killed by #Assad. She doesn't know. She was only six mont…,ريمة اللحام
RT @rima_allaham123: To those who are wondering why did we leave the city of #Aleppo in #Syria Welcome to #Aleppo  The masterpiece of bruta…,Rania Kisarرانيا قيسر
"RT @lineva_veman: 62 years ago, 300 Kurdish children were burned alive by the Syrian occupation regime while they watched a movie in a cine…",DaraTuyê☀️
"USIP: #WomenBuildingPeace Award finalist Hindrin Muhammad is a highly respected peacebuilder in #Syria. Since 2011, she has worked in a high-risk environment to bring community leaders together to address violent extremism and strengthen social cohesion. https://t.co/nXP9rBtOAf",The Ghost Giver
RT @Bitcoin_Xoe: @nayibbukele 💯  No person controls #bitcoin. No single entity is the owner of #Bitcoin. This is why everyone globally is a…,evelyn
RT @GlobalJusticeI: Syrian refugees should have the right of no return until a political solution is reached in #Syria.,UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",B®️Z
RT @Ark0Media: Seyed Hassan and Bashar Assad have invited us to the wedding party in Lebanon! Allies in Lebanon!😍🥰 Don't miss it! ---------…,🇮🇷Negin Kosar🇮🇷
RT @rima_allaham123: To those who are wondering why did we leave the city of #Aleppo in #Syria Welcome to #Aleppo  The masterpiece of bruta…,UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
It's one of the most awful stories in #Syria. Her father was killed by #Assad. She doesn't know. She was only six months old. She won the most prestigious reading contest in #Dubai and dedicated her victory to the killer of her father. I am speechless. https://t.co/cCDYqcxucg,ريمة اللحام
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,SteveO 🇺🇸
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…","Mordor is Losing, Cope"
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Kumail Ansari
"RT @GiorgioCafiero: .@FDD's Jacob Nagel identifies four reasons why #Israel must not provide #Ukraine the Iron Dome. The fourth one is ""the…",Giorgio Cafiero
"#Assad of #Syria killed 2 millions of his own people and is still killing. for 11 years,the world has been watching #Syrians being killed by #Assad, the #mullahs and #Putin. They don't care. #Syrians are human beings too! https://t.co/D09wcdMHWJ",ريمة اللحام
"RT @3Amilsa: #Syria ""Sochi was to ensure the survival of Assad under the auspices of the guarantors in the Syrian East"" 9/24/2022 https://t…",UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
"RT @jeniferfenton: ""#Cholera continues to sweep through #Syria &amp; #Lebanon at an alarming pace, leaving thousands sick and hundreds dead in…",UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Max's Granny
"RT @Levant_24_: #Syria  #Daraa   According to reports, ISIS detonated a VBIED in the al-Sad neighborhood of Daraa al-Balad as clashes betwe…",UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
RT @syriawise: #Photo | A camp for #IDPs in northwest #Syria - Fared Al Mahloul https://t.co/me1UfDfKhd,UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
"RT @snhr: Nabil Qasim al-Hariri, head of the local council in Elma town, Daraa suburbs, was killed on November 12 by unidentified gunmen wh…",UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,BRICS Bot 🤖
"RT @india_narrative: The archipelago, neighbour to India, faces a crisis of #radicalisation. Despite just 5 million people, many Maldivians…",Atul Aneja
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Rainer Brömer
HERO #ApartheidIsrael  Puppet of #Ukraine   #CIA/#ISIS/#NATO #Poland  #Palestine  #صباح_الخیر #فلسطین #ایران #یمن #لبنان #سوریه #عراق   #Iran #Russia #Syria #China https://t.co/fYHz2hdO5J,🇮🇷Tourage Nikkhah
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Dane1586
RT @AhmadSuriy: The story that makes your heart shrink. 🧵   The story of little Sham and her dad.  •••  – Who do you dedicate your victory…,Blake
RT @NTenzer: My latest in @DeskRussie_en where I ask disturbing questions about the relatively weak reaction of part of the Russian opposit…,UkraineWillWin🇪🇺🇺🇦🇹🇼🕊
RT @sofia_koller: Really looking forward to the launch of our new #4RNetwork 🤩 register now &amp; join us on Nov 16 to discuss different aspect…,Parallel Networks
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,merchandise
RT @dersi4m: Turkey says that they don’t accept condolences from the U.S. regarding the attack in Istanbul. This is an attempt to blackmail…,Lolokurdi
"#Exclusive: #Iraq's National #Security Advisor has stepped back from its role in the case of the #Iraqi families in #Syria's al-Hol camp following attempts by the #migration minister to bypass procedural safeguards, a source says. #SDF #ISIS #US Read more: https://t.co/SP3HLjsq2w",SHAFAQ News
"Anti- Imperialist U: The secret history of America's covert wars, with Hugo Turner https://t.co/l1rGcmdwoD #Nicaragua #Syria #Laos #CIA https://t.co/JlQT1RKS2A",Hugo Turner
RT @JohnPikpas: -#PKK #SDF #YPG/#PYD ✔️ -#Kurds including the #HDP ✔️ -#US #Sweden #NATO ✔️ -NW #Syria &amp; #Iraq ✔️ -#Greece (perpetrator was…,g🍹🇬🇷🇺🇦
RT @5thSu: #European strategy of Wars !!! #Ukraine️ #Syria ...... https://t.co/A3DZxcNbho,Dominika
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Ali Musa
"#WomenBuildingPeace Award finalist Hindrin Muhammad is a highly respected peacebuilder in #Syria. Since 2011, she has worked in a high-risk environment to bring community leaders together to address violent extremism and strengthen social cohesion. https://t.co/3gjh7UFL3p",U.S. Institute of Peace
RT @NTenzer: My latest in @DeskRussie_en where I ask disturbing questions about the relatively weak reaction of part of the Russian opposit…,ShipwreckHR
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,TahiraKhattak
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Aso M. Jaff
RT @BabakTaghvaee1: It has turned out that the attack was not carried-out by a suicide bomber but by means of a bomb package left by an Al-…,Aude
RT @BabakTaghvaee1: It has turned out that the attack was not carried-out by a suicide bomber but by means of a bomb package left by an Al-…,iceup
RT @BabakTaghvaee1: It has turned out that the attack was not carried-out by a suicide bomber but by means of a bomb package left by an Al-…,Rebel Stoic
"RT @fgeerdink: ask yourself: who profits from this #bombing in #istanbul? it's fully against the interest of the #kurds in #syria, they wil…",Kurdish_Data
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,PCornett
Evening Summary &gt; Will Ukraine Be A Long War &gt; US Troops In Syria &gt; Get Organised Change Lives Read All About It https://t.co/wjYpit6U1J All Free All The Time #HackneyBooks #Ukraine #Syria #GetOrganised https://t.co/t0SerC1Bpa,HackneyBooks
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",rabu
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Lolokurdi
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Mark Hilgers
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Shane
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,aranom
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,David End
"RT @SyriaCivilDef: “On #WorldDiabetesDay, we stand committed as caregivers to diabetes patients who suffer in light of the poor health sect…",respect for people
"The capital of Kazakhstan will host the 19th round of the #Syria peace talks known as the Astana talks on November 22-23. Representatives of #Russia, #Turkey, #Iran, the Syrian government, and the Syrian opposition are going to attend the new round.",Mehr News Agency
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,dr
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Magnusson G
RT @NU4Yoo: #Remembrance It was especially #humbling 2 have pupils from #Syria &amp; #Ukraine in assemblies @IrvineRoyalAcad @Greenwood_Acad @N…,Irvine Royal Academy
"It has turned out that the attack was not carried-out by a suicide bomber but by means of a bomb package left by an Al-Qaeda affiliated terrorist from #Idlib, #Syria. She was arrested today. https://t.co/fbYEDLEKWk https://t.co/xvQnqHT7QO",Babak Taghvaee - The Crisis Watch
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Faana@me
"RT @FabriceBalanche: 3/5 #Kobane is quite a symbol: Kurdish resistance to #ISIS. However, it is also the bridge that Erdogan needs to conne…",Dastan Jasim
"RT @lineva_veman: 62 years ago, 300 Kurdish children were burned alive by the Syrian occupation regime while they watched a movie in a cine…",Anazo
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,Ginger Stephens
RT @fgeerdink: exactly. while yesterday's bombing was *not* the work of anybody linked to ypg or pkk - which makes this whole situation dis…,Zagros
"RT @plexoworldddd: 🟦 (XIAN) EL ASSAD:  ""VULLNET""  Bashar Hafez al-Assad (11 September 1965) is a Syrian politician who is the 19th presiden…","Kipimdule ""MANGHO"" Mangoundo"
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,N I C O
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Arif Hussain
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Juju❣︎
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Lily Flores
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Tim Kennedy
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,Robert Barnes
"RT @VanessaBeeley: So MI6 #AlQaeda-linked #WhiteHelmets ""condemn"" alleged PKK bombing in #İstanbul but complete silence over #Israel attack…",joneyjones 💙🦊🎗☮️
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…",2x losersucker 🇺🇲🇺🇦
RT @marywareham: @UNGeneva @MineBanTreaty @hrw @aboeidsusan @UN_Disarmament @4disarmament @HRWGeneva @BanKillerRobots @minefreeworld @explo…,EthicsInTech
massive explosion occurred on Sunday in Istiklal Avenue of Istanbul | THE UNCUT NEWS STORY | #Turkey #Istanbul #IstiklalAvenue #MinisterofInternalAffairs #SuleimanSoylu #Soylu #KurdistanWorkersParty #PKK #NorthSyria #AinalArab #Kobane #Syria #Kurdishmilitants #RecepTayyipErdogan https://t.co/lRB43mpM5A,THE UNCUT NEWS STORY
"Is it this #Turky that provided safe heaven to dreaded/bloody #ISIS/#AlQaeda &amp; indulged in stealing #Syria oil? As proverbial goes: ""As you sow so shall you reap"". However, terror attacks anywhere must be condemned. https://t.co/JAqqfEBpj3",Hasnain Akhtar
RT @5thSu: #European strategy of Wars !!! #Ukraine️ #Syria ...... https://t.co/A3DZxcNbho,(=)
RT @KCL_MENA: #SaveTheDate: October 27  📣 We're excited to announce an upcoming HYBRID event on disinformation in the Middle East on North…,Kieran Mitton
RT @5thSu: #European strategy of Wars !!! #Ukraine️ #Syria ...... https://t.co/A3DZxcNbho,One of many Macedonians / Еден од многу Македонци
RT @5thSu: #European strategy of Wars !!! #Ukraine️ #Syria ...... https://t.co/A3DZxcNbho,FilipiA.....
RT @KCL_MENA: #SaveTheDate: October 27  📣 We're excited to announce an upcoming HYBRID event on disinformation in the Middle East on North…,Africa Group
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,raamanck
RT @ejmalrai: When the #İstanbul terrorist explosion that left 20 killed and wounded is carried out by a  Syrian woman affiliated with the…,@primary
The Commander-in-Chief of the Syrian Democratic Forces (#SDF) Mazloum Abdi has rejected all allegations of involvement in the #Istanbul attack. According to Abdi the #SDF was completely unconnected with the perpetrator. #Syria #turkeyblast #terrorism #Turkey,Silvia Boltuc / سيلفيا / Сильвия
"RT @fgeerdink: ask yourself: who profits from this #bombing in #istanbul? it's fully against the interest of the #kurds in #syria, they wil…",michele
"RT @fgeerdink: ask yourself: who profits from this #bombing in #istanbul? it's fully against the interest of the #kurds in #syria, they wil…",L. Kurdistani
RT @nadinemaenza: Anyone else questioning #Turkey’s quick investigation so Erdogan can blame NE #Syria in order to justify an invasion - es…,michele
“Welcome to my moderate rebels club”  Cartoon by Carlos Latuff  #ukraine #russia #syria https://t.co/22E1j6IJRP,Raznorechie ❄⚒✊
"RT @VanessaBeeley: So MI6 #AlQaeda-linked #WhiteHelmets ""condemn"" alleged PKK bombing in #İstanbul but complete silence over #Israel attack…",Andreas Augenthaler ⏳️
“Welcome to my moderate rebels club”  Cartoon by Carlos Latuff  #ukraine #russia #syria https://t.co/GNevpn6UAc,Raznorechie ❄⚒✊
"RT @SyriaCivilDef: Today marks the 5th anniversary of the massacre by regime forces and Russia in a market in the city of Atarib, #Syria wh…",Bill Wilson
