origional tweet,user
RT @ukrainewar24: ⚡️ Bodies of 4 civilians with signs of tortures were found in Kupiansk-Vuzloviy. #UkraineRussiaWar https://t.co/Y7oQmdloNl,Adin of Crimea
RT @edrormba: Ukraine rules out ceasefire talks with Russia to end war #UkraineRussiaWar  https://t.co/VUXQqYrBsD,IAmButDust&Ashes
ong i forgot about the ukraine and russia war i want ukraine to win but russia for sure gonna win like no way ukraine is gonna beat the biggest country in the WORLD #UkraineRussiaWar,contriveersaloppinnionssss
"Pergi Fuck Yourself, Putin! (Malay)  #RussianWarCrimes #PutinWarCrimes #UkraineRussiaWar #IStandWithUkraine",Fuck Putin Bot - #StandWithUkraine 🇺🇦
RT @UATV_en: Winter will be hard for Russia. They need a pause. Ukrainians are skilled winter fighters who'll keep going even in cold. Now…,UkraineInEurope
RT @serhey_hayday: 12 settlements liberated in #Luhansk Oblast. The village of Makiivka was liberated most recently. This bring the Ukraini…,Mark R Camus
RT @Starbright489: Nov. 13: Part 2 of 3/  ..containing up to 500 #Russian troops.  At least 2 trucks carrying #Bodies were reportedly taken…,STLBluesFan19☮️
"Jacob Rees Mogg  THE #UkraineRussiaWar WOULD NOT HAVE HAPPENED IF #Brexit DIDN'T HAPPEN  PUTIN ONLY INVADED BECUASE OF Brexit  EVERYONE WHO VOTED BREXIT HAS THE BLOOD OF EVERY MAN, WOMAN &amp; CHILD KILLED IN #Ukraine ON THEIR HANDS  LIKE THIS FAMILY OF 4 INCLUDING 2 YOUNG CHILDREN👇 https://t.co/y0bzegtnQr https://t.co/652czHPSFV",⚡️ DR. H. LEKTER (Sir) ⚡️
"Putin, master strategist🧵3/3  #UkraineRussiaWar #StandWithUkraine #Putin #ABlueView https://t.co/bF6729reZy",A Blue View 🇺🇸🇨🇦🇪🇺🇺🇦
"Putin, master strategist🧵2/3  #UkraineRussiaWar #StandWithUkraine #Putin #ABlueView https://t.co/uWPcxkeRP3",A Blue View 🇺🇸🇨🇦🇪🇺🇺🇦
"Putin, master strategist🧵1/3  #UkraineRussiaWar #StandWithUkraine #Putin #ABlueView https://t.co/ht7Xd8SZW7",A Blue View 🇺🇸🇨🇦🇪🇺🇺🇦
"It's quite sad to see some people still rolling around with the childish stories of ""good vs evil"" in their heads. #UkraineRussiaWar https://t.co/fyF4Ne7HDg",Harry
"Go fuck yourself, Putin! (English)  #PutinWarCrimes #StopRussianAggression #UkraineRussiaWar #StandWithUkraine",Fuck Putin Bot - #StandWithUkraine 🇺🇦
"Chatter that #Ukraine continues its envelopment of Svatovo and units are South after being spotted North earlier. Per RU sources, S Svatovo the defense line are broken and RU tries to evacuate the local population. #UkraineRussiaWar #ukrainecounteroffensive https://t.co/EJzt3TokbA",@PStyleOne1@mastodon.online
RT @UATV_en: Winter will be hard for Russia. They need a pause. Ukrainians are skilled winter fighters who'll keep going even in cold. Now…,António LG
RT @b001_steve: Release the #DogMan... #HIMARSTime  #HIMARSoCLOCK  #Kherson   #WeAreNAFO  #NAFOfellas   #Ukraine  #UkraineWar  #UkraineRuss…,SteveB001
Russian troops are caught stealing a RACOON from Kherson zoo and bundling a llama into a van amid reports of widespread looting by retreating soldiers. #Memes #RussiaIsATerroristState  #Ukraine #UkraineRussiaWar https://t.co/6RYIOeGEyG,🇵🇱✠ 𝔢𝔤𝔯𝔢𝔤𝔬𝔯 ✠🇺🇸
Video from #France 🇫🇷 French CAESAR self-propelled howitzer and armored personnel carriers are being taken somewhere. Probably in #Ukraine 🇺🇦  #StandWithUkraine #UkraineWillWin #UkraineRussiaWar #SlavaUkraini #GloryToUkraine #french #RussiaIsATerroristState #StopRussianAggression https://t.co/VYhmrDOHCB,Alba Fella ✙ 🇪🇺🇺🇦
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Ken
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Vadim Levchuk
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Кепочка М
RT @Militarylandnet: 📷Ukrainian president Zelensky visiting the liberated #Kherson city today. #UkraineRussiaWar https://t.co/8eIgGDz6nI,Vadim Levchuk
The Armed Forces of #Ukraine attacked the #Russian base in the occupied Gornostaevka. NOT official info. #UkraineRussiaWar #ukrainecounteroffensive #kherson https://t.co/0xdHlOEPNq,@PStyleOne1@mastodon.online
RT @Starbright489: Nov. 13: Part 1 of 3/  #Ukraine’s #ArmedForces confirmed they hit a #Russian #Forces' #Manpower concentration area in #K…,Mary
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,QuantumSpace
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Traker
"RT @ukrainewar24: ⚡️ Damage in Valuyki district, according to local authorities 2 missiles were shot down by air defense. #Ukraine #Russia…",Akhtem Brendan Krystiyan
⚡️ Bodies of 4 civilians with signs of tortures were found in Kupiansk-Vuzloviy. #UkraineRussiaWar https://t.co/Y7oQmdloNl,🇺🇦 Ukraine | War News 24
RT @EUFreeCitizen: #UkraineRussiaWar #Ukraine #Russia  ⚡ AFU hit a center of control and training of Iranian drones in #KhersonOblast in th…,Nymbus Broome
"RT @BlogUkraine: #264dayofwar  ⚡Armed Forces of #Ukraine eliminated 81,370 Russian occupiers - General Staff of the Armed Forces of Ukraine…",🇺🇸🇺🇦 ਤੇਰਾ ਜੀਤ ਸਿੰਘ Тера Джіт Сін
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",🌊🇺🇦🇺🇦🇺🇦Ukraine VoteBlue 🌊
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Abbie Normal
RT @Militarylandnet: 📽️🇺🇦🛥️Ukrainian troops crossing Dnipro river #UkraineRussiaWar https://t.co/TVBBZen2eR,Lukáš Adler
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Eugene.Tokio🇺🇦tweet.memes
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",NAFO Dark Brandon
RT @KobaManitoba: Great article here going into detail of Stefan Bandera and the OUN pre-WWII. Obviously those techniques are still used to…,Mighty Mouse
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Het DBB
RT @AlexRaptor94: Captured Russian BTR-82(A) number 304 was found by the Ukrainian military during a landing check. #UkraineRussiaWar #war…,Edwin Witt
What Russian Army Trash does for fun.  #RussiaIsLosing #UkraineRussiaWar #Anonymous #FckPutin #NAFO #Fellas #StandWithUkraine #PutinIsaWarCriminal  #RussianArmy #RussianInvasion #UkraineUnderAttaсk  #РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/LLm7bCqEx4,Boomersaurus
RT @NOTINAFO: Corleone #SlavaUkraini #UkraineRussiaWar #Ukraine #ZSU https://t.co/7aIxz7YaFE,Margarita Cisneros 💇‍♀️🇺🇦🇪🇦
"RT @newsmap_pl: #Kherson military situation - November 14, 2022  ▶️UKR entered to the #KinburnSpit and captured #Heroiske   #UkraineInvasio…",Alex Rutherford #stand with Ukraine
"RT @1qCQDs3JLZ4oxs7: 🇷🇺The soldier who threw grenades away from himself. His name is Aleksey, 138th Separate Guards Motor Rifle Brigade.…",Marcin Bertman
Another piece in the @Daily_Express on the #UkraineRussiaWar. @UKDefJournal @estudismilitars @beaufortcomment @peoplemattertv @DefenceHQPress @GBNEWS @5_News @cnni @larisamlbrown @SheridanDani @jeromestarkey @BBCRadioScot @KimSengupta07 @shashj @S_M_R_G  https://t.co/eemHPTJkpl,Stuart Crawford
"RT @EQfard: Today in Stockholm, Sweden   For solidarity between #Iran and #Ukraine  #UkraineRussiaWar  #IranRevolution2022 https://t.co/FsE…",Ebi
RT @CoolCrap_: #Potassium #Iodide #Radiation #Tablets 130 mg (2 Pack) - (280 Tablets) EXP 05/2032 - Ki #Pills Potassium Iodine Tablets for…,Cool Crap
RT @CoolCrap_: #REEBOW #GEAR #Military #Tactical #Backpack #Large #Army 3 #Day #Assault #Pack #USA #WW3 #Putin #UkraineRussiaWar #nuclear #…,Cool Crap
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,V!RΛL
RT @CoolCrap_: #Potable #Aqua #Water #Purification #Tablets With PA Plus - Two 50 count #Bottles #WW3 #Putin #Ukraine #UkraineRussiaWar #nu…,Cool Crap
"RT @CoolCrap_: #Variety Pack #Survival #Gear #Food #Seeds | 15,000 Non GMO #Heirloom Seeds for #Planting #Vegetables and #Fruits #Survival…",Cool Crap
RT @PStyle0ne1: ‼️The russian cope cones (pyramids) are useless‼️The Ukrainian make the demo in this short video. The tank easily drives ov…,Marcin Bertman
"No #NaziUkraine right?, well maybe a couple but who cares...  #UkrainianArmy  #Ukraine  #UkraineRussiaWar https://t.co/9R1QiCDlc5",Arskka
"RT @UkraineNewsLive: ⚡🇺🇦💪179 settlements on 4.5 thousand square kilometers of the right bank of the Dnieper were deoccupied - OK ""Pivdenny""…",Alessio G 🇫🇷🇮🇹
@catturd2 Call a money launderer a money launderer and nobody does anything about it because everybody with a voice is involved in the scam #FTX #POTUS #UkraineRussiaWar #JustinTrudeau #WEF #WEFpuppets,Abe Guenther
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,T.J. Lowe
RT @UkraineNewsLive: ⚡🇺🇦💪Photos and videos of #Zelensky's meeting with the military in #Kherson appeared. #Ukraine #UkraineWar #Ukrainian #…,Jane 🇺🇦🌻🍉
"RT @Militarylandnet: 📽️Ukrainian soldiers storming a Russian fortified positions somewhere in #Kherson Oblast, date unknown. #UkraineRussia…",JoeFella
"RT @UkraineNewsLive: ⚡🇺🇦💪-510 #Russianterrorists🐖 Well, the next milestone is 90,000 thousand. #Ukraine #UkraineWar #Ukrainian #UkraineRuss…",Alessio G 🇫🇷🇮🇹
RT @uarealitynow: Security Team not so happy 😂   But our President insisted on visiting the recently liberated front line city to be among…,David Bond
"Su-25 attack aircraft under the control of the Wagner Group pilots, who support the offensive of their infantry near Bakhmut... #bakhmut #ukraine #UkraineRussiaWar https://t.co/1OxPMa621B",K13 News
RT @W_W_3_2022: Intensity of emergency power outages in Ukraine by regions. #UkraineRussiaWar #Ukraine #UkraineUnderAttack #UkraineWar #Ukr…,LAVIENROSE...
RT @serhey_hayday: 12 settlements liberated in #Luhansk Oblast. The village of Makiivka was liberated most recently. This bring the Ukraini…,Crystal Alcairo
"Mobilised personnel depart from Serpukhov, the Moscow region, and go to the front.  #Ukraine #Ukrainewar #UkraineRussiaWar #Serpukhov https://t.co/yrbPLUTv3o",Chronology
Zelensky in Kherson part2...where's the Coke...and I don't mean Coca Cola 😁  #UkrainianArmy  #Ukraine  #UkraineRussiaWar https://t.co/qZgc47bzXq,Arskka
"Ukraine is a money laundering scheme for the rich and if you still think supporting #Ukraine means supporting freedom, you're a clown. #UkraineRussiaWar #FTXbankruptcy https://t.co/0o58x7lhyT",Harry
RT @serhey_hayday: 12 settlements liberated in #Luhansk Oblast. The village of Makiivka was liberated most recently. This bring the Ukraini…,LisaMarie
"RT @EQfard: Today in Stockholm, Sweden   For solidarity between #Iran and #Ukraine  #UkraineRussiaWar  #IranRevolution2022 https://t.co/FsE…",Dafneh
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,noir@🐑¡Iä! ¡Shub-Niggurath!
"RT @5thSu: 🇷🇺After 8 months of war has clear Air Superiority in #UkraineRussiaWar with MiG-31 Foxbat, as #Ukraine has no air defense to sho…",Barmby PuzoMafiaso〽️🔆⚓
Another group of Russian military from the Tula region left the training base and went to the front line.  #Ukraine #Ukrainewar #UkraineRussiaWar #Tula https://t.co/w6cThrw4mv,Chronology
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,fortisett
"RT @EQfard: Today in Stockholm, Sweden   For solidarity between #Iran and #Ukraine  #UkraineRussiaWar  #IranRevolution2022 https://t.co/FsE…",مشروطه خواهان
RT @ActForUA: 🇺🇦Ukrainian tankers are going to the front. ❗The Russians clearly miscalculated in the south and did not expect such a rapid…,BulliT 🇪🇺 🇺🇦
"Mur fuck lilek innifsek, Putin! (Maltese)  #RussiaWarCrimes #RussiaInvadedUkraine #StandWithUkraine #UkraineRussiaWar",Fuck Putin Bot - #StandWithUkraine 🇺🇦
RT @ActForUA: 🇺🇦Ukrainian tankers are going to the front. ❗The Russians clearly miscalculated in the south and did not expect such a rapid…,Jeff Bingham
RT @serhey_hayday: 12 settlements liberated in #Luhansk Oblast. The village of Makiivka was liberated most recently. This bring the Ukraini…,Katerina Avdoshina
RT @Militarylandnet: 📽️🇺🇦🛥️Ukrainian troops crossing Dnipro river #UkraineRussiaWar https://t.co/TVBBZen2eR,Paolo Bazan
"Combat operation of Russian Su-35S fighter in Ukraine  High-precision ATA and ATS missiles are employed for destroying the aircraft, radars, and air defence systems of the Armed Forces of Ukraine.  #Ukraine #Ukrainewar #UkraineRussiaWar https://t.co/o8tbyosPTo",Chronology
Why is this Ukrainian throwing up a Nazi salute? Just curious. #ukraine #UkraineRussiaWar https://t.co/g218iqjKrx,📀 JJ Boogie 📀
🇺🇦Ukrainian tankers are going to the front. ❗The Russians clearly miscalculated in the south and did not expect such a rapid advance of Ukrainian troops.  #UkraineRussiaWar #Ukraine #Russia #RussiaIsATerroristState #StandWithUkraine️ https://t.co/1GfcHTbQTU,"We stand for Truth, Freedom, and Fairness🇺🇦"
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Cllr Brian Wernham 🔶 🇺🇦 🌈
It's time to get Crimea BACK!  #RussiaIsLosing #UkraineRussiaWar #Anonymous #FckPutin #NAFO #Fellas #StandWithUkraine #PutinIsaWarCriminal  #RussianArmy #RussianInvasion #UkraineUnderAttack #ukrainecounteroffensive #RussiaIsATerroristState #CancelRussia https://t.co/tAhKy4mYad,Boomersaurus
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Prince Heather
Russian Osa intercepts an aerial target over Ukraine  #Ukraine #Ukrainewar #UkraineRussiaWar #Osa https://t.co/04QWWwhfkC,Chronology
"RT @tleehumphrey: Meanwhile in Canada the @CAF is undermanned, under equipped &amp; underfunded. Trudeau’s priorities aren’t my priorities but…",Older and Wiser 🇨🇦
RT @MardipOrtaAsya: Ukraine’s president says nation growing confident about achieving victory over Russia  https://t.co/O5KtOqveyy  @Mardin…,Nurcan Akkurt
RT @MardipOrtaAsya: Live blog: Liberation of Kherson 'beginning of the end' - Zelenskyy  https://t.co/nHlp9vuyfy  @MardinDiplomasi #Ukraine…,Nurcan Akkurt
"UK, US and EU have eased sanctions against Russia in the field of agriculture and allowed banks,insurers, carriers and other companies to supply fertilizers from the Russian Federation to fight hunger in the world.  https://t.co/9hmSl4NbwP  #Ukraine #Ukrainewar #UkraineRussiaWar",Chronology
"RT @ibam_tr: 📌Report  "" #Ukraine has won an important victory in the campaign that liberated western Kherson Oblast, culminating in the wit…",Nurcan Akkurt
"RT @ibam_tr: 📌Report  "" #Ukraine has won an important victory in the campaign that liberated western Kherson Oblast, culminating in the wit…",Murat Kenan
"Ukrainian President Volodymyr Zelensky (C) is escorted by soldiers as he visits the recaptured city of Kherson, Ukraine, 14 November 2022. 📷️ epa / Oleg Petrasyuk  #Kherson #UkraineWar #UkraineRussiaWar #epaimages https://t.co/I73eIqsicP",EPA Images
"RT @W7VOA: Retaking of Kherson is a ""significant victory for #Ukraine,"" says @POTUS, adding it's hard to tell at this point what it means a…",Betty
Russian assault fighters Su-25 attack Ukrainian positions in Marinka.  #Ukraine #Ukrainewar #UkraineRussiaWar #Su25 https://t.co/M0XfmCWHI6,Chronology
RT @Militarylandnet: 📽️🇺🇦🛥️Ukrainian troops crossing Dnipro river #UkraineRussiaWar https://t.co/TVBBZen2eR,dvlaci
"Collapsed cryptocurrency exchange FTX had ties to Ukrainian government, WEF, and top Biden adviser https://t.co/tCEV6V6s4h by Iain Muir (@myscotlandtoday via @georgegalloway)   #geopolitics #UkraineRussiaWar #UkraineWar #geoeconomics #FTXScam https://t.co/NyyXWYtvw4",metacode
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",Maik TheHunter
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,octavioaleonpatino 🇺🇸🇨🇺🇪🇸🇧🇪🇺🇦
RT @UATV_en: Winter will be hard for Russia. They need a pause. Ukrainians are skilled winter fighters who'll keep going even in cold. Now…,John De Lange
'Slava Ukraine' -- Russians running in panic - A LOT OF RUSSIAN ARMOR IS LEFT IN KHERSON. Freedom for civilians in Kherson #UkraineRussiaWar  https://t.co/Ji8Ue2hGvD via @YouTube,KACO Blokland - Armageddon Survivor
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,Daytona
RT @PStyle0ne1: #putin signs a decree that allows the mobilization of foreigners in the Russian army!!!  It is likely targeting the immigra…,dise@mastodon.bida.im 🇺🇦🌻🚜
The #Kinburn spit came under the control of the Armed Forces - Pro-Russian TG channels.💪🇺🇦 #nikolaev #KhersonOffensive #Ukraine #UkraineRussiaWar #Ukraine️ https://t.co/1iVANCGKU1,Feher_Junior
"RT @W_W_3_2022: Rishi Sunak said he would challenge Putin at the G20 summit in Bali.  He said he was going to criticize his regime and ""exp…",Ephraim Usaini
RT @K13News: Putin signed a decree today that will allow foreigners residing in Russia to be summoned to his war in Ukraine. Called foreign…,dise@mastodon.bida.im 🇺🇦🌻🚜
"RT @tleehumphrey: Meanwhile in Canada the @CAF is undermanned, under equipped &amp; underfunded. Trudeau’s priorities aren’t my priorities but…",Barbara
Inside the Maga heartlands where voters still back Trump - https://t.co/vxIzVoHKYQ - #USPolitics #ElonMusk #Biden #UkraineRussiaWar,DIYPOTUS
RT @Militarylandnet: 📷Ukrainian president Zelensky visiting the liberated #Kherson city today. #UkraineRussiaWar https://t.co/8eIgGDz6nI,Nrock
RT @infussambas: Russian gay soldiers 🤮  #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristState https://t.co/J9…,Nico Krüger
RT @serhey_hayday: 12 settlements liberated in #Luhansk Oblast. The village of Makiivka was liberated most recently. This bring the Ukraini…,Jarto Vino
"RT @UkraineNewsLive: ⚡🇺🇦💪179 settlements on 4.5 thousand square kilometers of the right bank of the Dnieper were deoccupied - OK ""Pivdenny""…",Crystal Alcairo
"Spaniards hold massive protest in Madrid, warn against overhauling care services https://t.co/BZmTZSZmwr (@PressTV)   #Spain #austerity #inflation #geopolitics #UkraineRussiaWar #UkraineWar #geoeconomics",metacode
"RT @Boba12340769066: ""Hi. If possible, just retweet the photo of my father who was killed in action. I want him at least to be seen and und…",альцев Онид 🇺🇦
RT @UkraineNewsLive: ⚡🇺🇦💪The work of #Ukrainian helicopters on the positions of #Russianterrorists🐖 #Ukraine #UkraineWar #Ukraina #UkraineR…,Crystal Alcairo
RT @UkraineRussia2: M1097 Avenger is already in Ukraine. Thank you United States of America #Kherson #Ukraine #USA #UkraineRussiaWar #ukrai…,jmbler 🌊💙
RT @NOTINAFO: Corleone #SlavaUkraini #UkraineRussiaWar #Ukraine #ZSU https://t.co/7aIxz7YaFE,Deviatov
"RT @5thSu: 🇷🇺After 8 months of war has clear Air Superiority in #UkraineRussiaWar with MiG-31 Foxbat, as #Ukraine has no air defense to sho…",Pablo Adolfo ECKELL
#RussiaUkraineWar: Zelenskyy visits Ukrainian Troops in Kherson https://t.co/ZqDDRwcjlv  #Russia #Wagner #Kherson #Luhansk #KhersonisUkraine #KhersonRegion #Dnipro #Украина #Zelensky #UkraineWar #UkraineRussianWar #UkraineRussiaWar,NewsGram
RT @TulioWars: #Russian soldiers are dying in droves. #UAarmy Airborne brigades eliminates #RUF troops with the help of artillery &amp; Mortar…,william clark
RT @PStyle0ne1: ‼️The russian cope cones (pyramids) are useless‼️The Ukrainian make the demo in this short video. The tank easily drives ov…,David Bond
"RT @TulioWars: Unconfirmed news from #Olehsky,Kherson . UA forces seem to have liberated the town. 🇷🇺 forces withdrew after relentless arti…",william clark
RT @Militarylandnet: 📽️Ukrainian soldiers heading towards Kinburn Spit. The liberation of the remaining occupied part of Mykolaiv Oblast is…,junko
RT @infussambas: Ukrainian forces capture a Russian T-62 tank in Kherson. #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #Russia…,TOW II BRAVO
Failed crypto exchange # FTX was money laundering operation - RT / Gateway Pundit https://t.co/Q5JuehhLYB (@SOTTnet)  #geopolitics #UkraineRussiaWar #UkraineWar #geoeconomics #FTXCRASH #FTXScam,metacode
"RT @ukrainewar24: ⚡️ Damage in Valuyki district, according to local authorities 2 missiles were shot down by air defense. #Ukraine #Russia…",Frank Henriksen
"RT @ukrainewar24: ⚡️ According to local Telegram channel, - explosions in Belgorod as result of failed missile launches towards #Kharkiv. #…",Voleth Meir▪️The Deathless Mother 🇺🇦🌻🇺🇸
"RT @owarino_outsuke: 🇷🇺🇺🇦Russian marines captured a couple of AFU soldiers in the village of #Pavlivka, #Donetsk region   -Come here one by…",PHOLELO4MANY🇿🇦+🇷🇺=🫂
"RT @ukrainewar24: ⚡️ According to local Telegram channel, - explosions in Belgorod as result of failed missile launches towards #Kharkiv. #…",Sanders
"Lithuania transfers armored personnel carriers, ammunition to Ukraine / The New Voice of Ukraine https://t.co/70lBArNSYF #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews",Sue Stone (standing with 🇺🇦)
"RT @tleehumphrey: Meanwhile in Canada the @CAF is undermanned, under equipped &amp; underfunded. Trudeau’s priorities aren’t my priorities but…","Latarian Hoöd-Rat - The Boy, The Legend ™"
"Putin’s aim is to leave Ukraine cold, dark this winter, says Stoltenberg / The New Voice of Ukraine https://t.co/cQgn1pvJFv #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews",Sue Stone (standing with 🇺🇦)
"RT @owarino_outsuke: 🇷🇺🇺🇦Russian soldiers inspecting the Ukrainian heavy equipment they have just destroyed  - Hey, look! Isn't it a ""Sting…",PHOLELO4MANY🇿🇦+🇷🇺=🫂
RT @BlogUkraine: #264dayofwar  ⚡#Canada announces additional $500M in military aid to #Ukraine⚡  #UkraineWar #StandWithUkraine #UkraineRuss…,Ephraim Usaini
Russian occupiers dismantle roads and canals to build fortifications in Melitopol | Ukrainska Pravda https://t.co/bT8VZBX18B #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews,Sue Stone (standing with 🇺🇦)
Russian Lend-Lease in action: Ukrainian National Guardsmen destroy Russian artillery using trophy Msta-B howitzer | Ukrainska Pravda https://t.co/xGtN8FyQRn #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews,Sue Stone (standing with 🇺🇦)
"RT @tleehumphrey: Meanwhile in Canada the @CAF is undermanned, under equipped &amp; underfunded. Trudeau’s priorities aren’t my priorities but…",Kel
Biden: There will be no peace talks without Ukraine's participation | Ukrainska Pravda https://t.co/HNGny97b5a #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews,Sue Stone (standing with 🇺🇦)
About 150 people die in occupied Mariupol every week | Ukrainska Pravda https://t.co/WftHVLCrgq #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews,Sue Stone (standing with 🇺🇦)
"RT @EQfard: Today in Stockholm, Sweden   For solidarity between #Iran and #Ukraine  #UkraineRussiaWar  #IranRevolution2022 https://t.co/FsE…",Iran Azad
RT @infussambas: Ukraine drone vs Russia drone. #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristState #Russian…,Bostjan
Bodies of farmers killed during Russian occupation found in Kherson region https://t.co/WR9ET2C5gc #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews  #Kherson,Sue Stone (standing with 🇺🇦)
Pink Flamingo: The U.S. Military Will Pay for Its Munition Shortage https://t.co/Jphgqa3dGm Dan Goure (@thenatlinterest)              #geopolitics #UkraineRussiaWar #UkraineWar #geoeconomics,metacode
RT @OmarDib70: 🇷🇺 Vladimir Putin signed a decree allowing conscript service in the RF Armed Forces for persons with foreign citizenship. #R…,David Johnson
