origional tweet,user
#Russia 's special military operation in #Ukraine️ on Monday has managed to repulse attacks by Ukrainian forces and inflicted damage on several of its missile systems as well as other infrastructure. @RusEmbIndia #RussianArmy #ukrainecounteroffensive  https://t.co/MGjAshjah8,The Newsmen
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…",Terri
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Maggie
RT @BrianJBerletic: Russian Ops in #Ukraine: What is the Goal &amp; is Moscow Achieving it?  In order to analyze whether or not #Russia is succ…,#SupportPalestine #BDS #Yemen #Kashmir #Assange
"If Canada offers #Russia 1,000 raccoons, would they just get out of Ukraine?  They could present this as a glorious victory and end the whole debacle. #UkraineWillWin https://t.co/SG5WmCqoNv",Jim Gough 🇨🇦🇺🇦🇬🇧
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,Safwan
"RT @nexta_tv: The #European Parliament will vote next week on a resolution to declare #Russia a terrorist country, according to the website…",JROB666
RT @NATOpress: 🆕📹#NATO Secretary General @jensstoltenberg: #Russia’s withdrawal from #Kherson shows the courage of #Ukraine’s forces and th…,Paul Paulo
RT @praisethesteph: #Ukraine/#Russia 🇺🇦🇷🇺:  🇺🇦#Ukrainian forces captured a 🇷🇺#Russian ZSU-23-4 #Shilka SPAAG in #Kherson oblast.  #UkraineR…,AHelén 🇫🇮🇪🇺
"RT @RussianEmbassy: MFA spox #Zakharova: We are not shutting the door on dialogue and diplomacy. We are open to normalising interaction, wh…",Ume Opara
"RT @observerug: #Zambia demands answers from #Russia over jailed student killed at battlefront in #Ukraine. Nathan Lemekhani Nyirenda, 23,…",باراك موبيرو
RT @AlexKokcharov: Estimates by #Ukraine’s MoD @DefenceU on losses by the invading #Russia|n forces as of 14 November.   While it's not pos…,Ishtarmuz  dale west
"RT @observerug: #Zambia demands answers from #Russia over jailed student killed at battlefront in #Ukraine. Nathan Lemekhani Nyirenda, 23,…",Mayjoe5
On Back Story the fmr UK National Security Advisor Mark Lyall Grant on why #Russia can't be allowed to win in #Ukraine.  What's really at stake in this war?  @LyallGrant #UkraineRussiaWar   https://t.co/0owjmBsXdL,Dana Lewis
RT @AWidlaszewska: A thought-provoking insight into the life of @vkaramurza which reminds us that behind every repressed activist there is…,🇨🇦🇺🇦 GeoMagix 🇺🇦🇨🇦😷🧢🌿🐝🌹🧘🎤
RT @JanekLasocki: 1/ Two weeks ago Nobel Prize laureate @MemorialMoscow was prevented from holding its annual ceremony to remember victims…,Janek Lasocki
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,🇿🇦💚
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,Ted Grimes
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",julian mailing
"RT @EuromaidanPR: The EU Parliament will vote on a resolution declaring #Russia a terrorist country next week, according to the website of…",Wojo2427
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",Karen Decoux
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",AlFa
"@Gerashchenko_en Sick, cruel, barbaric, and utterly depraved. Is their capacity for such atrocities without limit? #RussianArmy #Russia #russiaisateroriststate",Garry Wilmore
Yes #Russia: you are totally isolated... #roguestate https://t.co/t8YGt2bnQW,Will Knocker
RT @Commentary: The populist right’s incandescently stupid campaign to popularize opposition to the Ukrainian cause is monumentally witless…,Sahib of Simla
⭕ Der Spiegel on a secret document of the German army: a fundamental change must be made in our military strategy after #Russia invades #Ukraine  👈 The conflict on the eastern Nito border with #Russia   1/,Palestine News 24/7
"RT @MCTothSTL: If only #Solovyov would focus on exploring why #Putin &amp; the #Kremlin are alone, then he’d understand why #Russia is losing i…",0ok
"RT @HerryNapit: Viral: Torture, rape and executions: Russian Wagner Group tactics in Syria, Libya, Ukraine: Bakhmut, Svatove, Dnipro, Khers…",🏳️‍🌈Dark Souled🏳️‍⚧️🖤🐘🤍💜
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,Michelangelo/Mentor Wanted
"RT @_WORLD_ANALYSIS: #BREAKING ‼️  After facing a crushing defeat in Kherson from Russia, Russia can now launch major attack on Ukraine's C…",Samantha
"Zelensky, ""We are ready for peace."" CIA Burns meets Russia's Naryshkin https://t.co/4lYIrd9mHE  #TheDuran #AlexChristoforou #AlexanderMercouris #Russia #Ukraine #Putin #Zelensky #MilitaryIndustrialComplex  https://t.co/Xi9OA9bpxj #poetry #RandomThoughts #LostSongsoftheRevolution",John Hulse
"@NOELreports Well, This breakthrough is certainly planned to expand! There are troops of #Russia in north, and south. So, #Ukraine has to keep on with efforts of attacking, and regaining land. Mistky would be extremely good regain on this area.",Heikki Kallio
"#JimCarrey among Canadian #celebrities, #journalists barred from entering #Russia - National | https://t.co/jHkDMYvWW2 https://t.co/SBvRpJ4Zz4 #Canadians #barred #banned",Janice Dash
"RT @_WORLD_ANALYSIS: #BREAKING ‼️  After facing a crushing defeat in Kherson from Russia, Russia can now launch major attack on Ukraine's C…",Sahil R
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,Frankie Crisostomo
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",Here4thacarrots
"What's next after #Russia retreated from Kherson? One thing is clear-as winter draws near, countless #Ukrainians are under cont attacks &amp; without necessities. If u're a private funder, msg me to join  @gmfus this week as we assist philanthropy ramp up its #humanitarianassistance! https://t.co/7VQPKS00RX",Martina Hrvolova
"RT @owarino_outsuke: 🇷🇺🇺🇦Russian soldiers inspecting the Ukrainian heavy equipment they have just destroyed  - Hey, look! Isn't it a ""Sting…",Hamath   Smael
The #grain market has moved this year from handling an unprecedented worldwide #pandemic to dealing with a war involving two of the planet’s biggest exporting nations in #Ukraine and #Russia. → https://t.co/zPH1uvSRH5  #agriculture #agribusiness #trade #exports #shipping #food,World Grain
The accreditation of several journalists – including #CNN &amp; #SkyNews reporters  #Kherson #Ukraine #Russia https://t.co/NPQGOflErb,🌎 Sarwar 🌐
"#BREAKING ‼️  After facing a crushing defeat in Kherson from Russia, Russia can now launch major attack on Ukraine's Cities. - Some Experts.  #RussianArmy #Russia #UkraineWar #Ukraine️ #UkraineRussianWar #Russians https://t.co/bzMJohoQ0M",WORLD ANALYSIS
"RT @timand2037: Memories: #Kiev locals welcome #Nazi troops from #Germany, September 26, 1941. They thought they were invincible but faced…",Светлана
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,Lil' Ģ fəļļá
"RT @WarMonitors: ⚡️The preconditions for talks on Ukraine, including the withdrawal of Russian troops, are unacceptable to Moscow | #Russia…",Scott McCampbell
is it a really a surprise the guy who gave million to Biden is a fraudster and we're in a war with the same countries his son was doing business deals with?   It's all planned. Every president since Kennedy is fake. Prepare.   #WEF #SBF_FTX #SBF #GreatReset #Russia #UkraineWar,Clown
ukraine war footage drone | Ukrainian troops drop bombs on Russian forces with drones #Russia #Ukraine #UnitedStates #Kyiv #UkraineWar #kherson https://t.co/IGr9GfLBVE,news poster
RT @VigilantinfoN: NATO Secretary General @jensstoltenberg: #Russia’s withdrawal from #Kherson shows the courage of #Ukraine’s forces and t…,GT
Ouch. It's seriously harsh on @GNev2. But the world effectively did this kinda stuff in 2018 with Putin's #Russia. Taking #QatarWorldCup2022 money leaves Neville &amp; Beckham easy targets. Because the point is fair. https://t.co/KtnGeDebr7,Neil Morrow
"RT @timand2037: Memories: #Kiev locals welcome #Nazi troops from #Germany, September 26, 1941. They thought they were invincible but faced…",🌐X7R7P7🌐
Find 5 or 99 differences.  #Ukraine #Russia #NAFO #NAFOfellas https://t.co/jG9cyBfF90,JR2
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Ingwar Trollgstem
"RT @KramarenkoMari3: #Lavrov with #Iphone #iwatch and wearing merch of Jean-Michel Basquiat, an American artist. Poor guy, still wants to l…",Barbara Balanzoni 🧱 parody
@HippBilly Be careful with that tin foil hat.... it seems to collect enough cosmic energy to make your brain boil!  This is why money is sent to #Ukraine  https://t.co/nm8qiQtWDs  #GTFO of Ukraine #Russia,Kim Madsen
"RT @KramarenkoMari3: #Lavrov with #Iphone #iwatch and wearing merch of Jean-Michel Basquiat, an American artist. Poor guy, still wants to l…",gius👁️☀️
"Article Link: https://t.co/NyoS8KLXvl  Russia imposes sanctions against Bandera's grandson, Jim Kerry and 98 other Canadian citizens  Please Follow us to help the people of Ukraine   #ukrainewar #ukraine #war #army #military  #specialforces #russia #nato #donetsk #soldiers #ukrai",SWFL Warriors
"Article Link: https://t.co/xWmsfqkTmj  Russian occupiers evacuate their personnel from Zaliznyi Port, Kherson Oblast  Please Follow us to help the people of Ukraine   #ukrainewar #ukraine #war #army #military  #specialforces #russia #nato #donetsk #soldiers #ukrainenews #odessa #",SWFL Warriors
"RT @HannaLiubakova: #Russia Look, I respect women and respect those women who decide to have and raise children. But in this particular cas…",Cabral Eanes
"Article Link: https://t.co/hsXaGWqutQ  Belarus announces tender to print 50,000 call-up notices – General Staff  Please Follow us to help the people of Ukraine   #ukrainewar #ukraine #war #army #military  #specialforces #russia #nato #donetsk #soldiers #ukrainenews #odessa #ukrai",SWFL Warriors
Article Link: https://t.co/zeUISM0Ld7  Russia's Private Military Companies' commanders are former Russian special forces  Please Follow us to help the people of Ukraine   #ukrainewar #ukraine #war #army #military  #specialforces #russia #nato #donetsk #soldiers #ukrainenews #odes,SWFL Warriors
IMAGE of smoke from a fire with explosions in the aftermath of a Ukrainian strike on a Russian amuunition depot in Hola Prystan' in Kherson. #Ukraine #russia #Putin #ukrainewar #RussiaIsATerroristState #Putinswar https://t.co/Mjm31xao1g,raging545
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",MyFirstSocialMediaAccount 🇨🇦 🇺🇦
"RT @KramarenkoMari3: #Lavrov with #Iphone #iwatch and wearing merch of Jean-Michel Basquiat, an American artist. Poor guy, still wants to l…",Jane B 🇺🇦🇬🇧🇬🇧🇬🇧🇬🇧🇺🇦
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,Хоменко Денис
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Finchy Fella
"RT @AliBakeer: 🇮🇷🇦🇲🇷🇺💥🇺🇦 #NEW  #Armenia offered a back door for #Iran's sanctioned jets to carry #drones to #Russia 2b used vs #Ukraine, an…",ergenekon
"@MarioNawfal The House of Cards of Fractional-Reserve Banking might be getting a nice public airing Thanks to #Biden family deals with #China, #Russia, #Ukraine and so on.",DigitalAssetsUS 🇺🇸🫡 FL Hanging Chad
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",Claire de Lune
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",nucle80
"RT @fmod1: BREAKING NEWS:  This is happening right now in #Highgate, London, where this roundabout has been renamed this morning in honour…",Pieter Hagendoorn
🇺🇦💥🇷🇺 Zelenskyy Calls Liberation of Kherson ‘Beginning of the End’   #GVWire #News #Politics #WorldNews #Ukraine #Ukrainian #Zelenskyy #Kyiv #Odesa #Mariupol #Putin #Russia #Russian #Moscow #War #Invasion #Biden #Nuclear  #nuclearweapons   https://t.co/T89tfgy0tW,GV Wire • News
"RT @EuromaidanPR: The EU Parliament will vote on a resolution declaring #Russia a terrorist country next week, according to the website of…",David Isaksen
RT @LorenaDyson: #Russia might be considered our enemy but its more fun watching/following their diplomats than the UK. We understand the U…,Curiously Curious
RT @Antiwarcom: Yellen Says Some Sanctions Will Stay on #Russia Even After War in Ukraine The treasury secretary says some sanctions 'adjus…,Chase
RT @a_survivor23: Iranian women have more balls than Russian men  #IranRevoIution2022  #IranRevolution  #Russia https://t.co/d9xxJdgfH4,hadi72
"Russian propaganda on banners in Kherson. 'Russia is here forever',Kherson - forever with Russia'','Kherson - Russian town' they say. Good old Soviet style propaganda😉 #Kherson #Russia #Ukraine  #Україна #Херсон https://t.co/6ROKfDNoXq",Skënderbeu
RT @newclimateinst: 5/ Scandinavian countries perform well thanks to #renewables. #Norway stands out as the only country to be awarded a ‘v…,FrauAlly
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/mAa4Ccrcu5",キッチン大好き。
RT @Seber_Angle: Could the warring #Russia against #Ukraine be a blessing in disguise to the third world like #Africa? Where the energy sup…,BlackNAFO🇺🇦😎
Increasing nuclear to cut dependency on Russia…? Not so easy. Many nuclear reactors globally are built with Russian technology. More about this on Friday: subscribe to our weekly newsletter. #Russia #COP27 #Nuclear #energy  https://t.co/4OcFZkyG3V,Greenify 🌍
"RT @JoeDoge6: 🇷🇺🇺🇦 After an unsuccessful attack by the Armed Forces of Ukraine, our military inspect the destroyed enemy equipment - 2 infa…",Samuel Adebayo
RT @DrWorkneh: Privileged to receive invitation sent by Pres Putin to participate in #Russia-#Africa Summit 2023 from Amb of🇷🇺to🇩🇯&amp; #IGAD.…,BK
#RUSSIA #TURKEY #WEAREGREATFRIENDS  'Putin is trying to make life of God loving Erdogan's life difficult!....',Kursad Turksen
CIA chief 2 and chief of Russian secret services have a meeting in Istanbul. Secret and confidential.But everybody knows!!! Ridiculous at least!!! #usa #Russia,kostas.Vernikos
"RT @Jake_Hanrahan: New @PopularFront_ podcast episode out now: We speak to @PotempkinBrain about the БОАК partisans in #Russia, who're clan…",The WannabeWonk
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Rosso Neri
RT @staunovo: #Russia Delivers First Crude Cargo to #UAE’s Ruwais Refinery #oott https://t.co/zBl2EyFDLq,Antonia Juhasz
"RT @RosMathieson: The wording papers over differences on #Russia, sources say. One says the plan is to refer to the “war in Ukraine” as opp…",Robert Jameson
"RT @Sino_Market: China's Xi On Ukraine war: China hopes that the United States, NATO, and the European Union will conduct comprehensive dia…",Curiously Curious
Sergey Lavrov wearing 🇺🇸 🤫 #lavrov #usa #russia #ukraine #G20 #Apple https://t.co/R2Ingyg0Pr,The Albanian Times
RT @5thSu: Good Morning Friends😍🇷🇺💪🏼 #RussianArmy #Russia https://t.co/mmiFCPSZfA,John
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,J
RT @AWidlaszewska: A thought-provoking insight into the life of @vkaramurza which reminds us that behind every repressed activist there is…,Elena Barsukova
"No, indeed!: #Russia invaded Ukraine. What rights do terrorist states have to dictate terms of negotiations? Russia must start feeling shame! And withdraw. And pay for all destruction, for all the looting! @UN @NATO @EU_Commission https://t.co/nqOaCYGdiO",Gottfried Leibniz
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Antonio Luiz M. C. Costa
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",Snobby Cat
"Whilst everyone appears to be focusing on FTX &amp; the unwinding of Crypto, I reckon there’s an even bigger play happening that will make an even bigger movie. #Russia #Cyprus #Turkey #US #UK",Kevin Warner
"RT @TheStudyofWar: ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate…",ap ➕
"Financial Times - #China blocked #G20 summit communique condemning #Russia's war against Ukraine. ""There will be no agreement on wording condemning Russia's war against Ukraine"" #War_in_Ukraine https://t.co/DFaJ2TvXUs",#War_in_Ukraine #Facts #Opinions #Trends #Kharkiv
RT @ferozwala: Borrell Says Total Amount of EU Military Assistance to Ukraine Estimated at 8 Billion Euros   ▪️Borrell Holds Press Conferen…,Sham
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/4YqcSiqiHS",キッチン大好き。
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,Joseph F Drawing Fire
RT @Carol_Castiel: Partial #Midterms2022 results in first half and #Russia's retreat from #Kherson in #Ukraine and other international stor…,Katherine Gypson
"ISW: Alexander #Dugin, a pro-war ultranationalist, said #Putin has a responsibility to preserve #Russia or face the fate of the “king of the rains.”  In ""The Golden Bough” by Sir James Frazer, a king is killed for failing to provide rain during a drought.  https://t.co/VLaVokMoMT",ISW
"RT @nexta_tv: The #European Parliament will vote next week on a resolution to declare #Russia a terrorist country, according to the website…",Grzegorz
RT @JasonMBrodsky: Today's UK &amp; EU human rights-related sanctions on #Iran are significant as this is 2nd such tranche for UK &amp; 3rd such tr…,Simin Sharifzadeh
RT @kiraincongress: The #US will apply sanctions against 42 individuals and companies that help #russia buy weapons. Every ally of the dict…,John Benjamin
"FOOTAGE WAR UKRAINE / UKRAINIAN MILITARY DESTROY RUSSIAN SOLDIER / WORK ""STINGER"" MANPADS /GOPRO WAR #Russia #Ukraine #UnitedStates #Kyiv #UkraineWar #kherson https://t.co/6lBOQXVMRu",news poster
"RT @staunovo: #Russia: Fuel Suppliers Rush to Beat EU Ban, Sending Exports Surging  The nation shipped 3.2 million b/d of fuel on Nov. 1-10…",ZINU
RT @kiraincongress: Latvian President @valstsgriba called for the creation of a special tribunal for #russia. There is a gap in internation…,John Benjamin
RT @Nature_NeedsUs: 112 times #Russia used #veto right to stop #securitycouncil till now. #USA 85 times. Others not many. We need new membe…,NatureNeedsUs🌱🌍♻️💚💙
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",Chistina Anne
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/tV7gKSrmCd",キッチン大好き。
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,lordjimpt
RT @HannaLiubakova: #Russia Is Lavrov sending some hidden signal through a T-shirt?   Jean-Michel Basquiat was a great artist. He died from…,Jukka P.Seppälä 💛💙🇫🇮🇪🇺 #standwithUkraine
#Russia has denied media reports that Foreign Minister Sergei Lavrov was taken to hospital at the Group of 20 summit in #Bali. https://t.co/w8b3znYypE,Saudi Gazette
RT @steven_pifer: Exactly. Those urging that #Ukraine cede territory to #Russia to end war need to understand that would also mean ceding U…,Tom Ansley
"RT @LinkeviciusL: Kremlin mouthpieces are hysterical that #NATO wants to destroy #Russia. In fact, Russia is persistently destroying itself…",Ian M.
RT @JasonMBrodsky: Today's UK &amp; EU human rights-related sanctions on #Iran are significant as this is 2nd such tranche for UK &amp; 3rd such tr…,Freedom
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/tRQnCxmm9s",キッチン大好き。
"RT @georgegalloway: An important INTERVIEW: Europe’s giant working class will have no work, predicts #Gar... https://t.co/txT9mQTJKu via @Y…",Molly Toff
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/hK6lNkNDBd",キッチン大好き。
"RT @TheStudyofWar: A cessation or prolonged slowing of combat operations in #Ukraine over the next few months is very unlikely, and any att…",Stathis Simeonidis
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,gregoržidan#SLO
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/PUHFtaogMS",キッチン大好き。
RT @KBoz3: About #Ukraine without Ukraine.  #XiJingping understands who #Russia is fighting against in #Ukraine.    #China hopes that #NATO…,Soy Martin Martinez 🇲🇽🇯🇴🎸🇨🇳🇨🇺🇷🇺🇸🇾
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,Lee Smith
"RT @KramarenkoMari3: @ICRC still is not allowed by #Russia to visit Ukrainian pows, its 9th month of war. You can read some article about i…",IRENE Schütz
RT @RussianEmbassy: Dmitry #Medvedev: #Russia is fighting alone against #NATO and the West. Any parallels with the past are either incorrec…,Manooch Kargar منوچ کارگر
"RT @KramarenkoMari3: How is the investigation on #Olenivka massacre is going, btw? @UN @ICRC just wanted to say, that if Ukraine has an opt…",IRENE Schütz
"RT @bad_immigrant: CW Violence, Murder.  One of Wagner recruits from prison in #Russia was executed by sledgehammer - they smashed his head…",Mickel Adzema
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/7hhcuDr7U7",キッチン大好き。
These are all the nations #russia has invaded https://t.co/1IFqvDSsqA,Plato
